time_s,Ecell_V,I_mA,EnergyCharge_W_h,QCharge_mA_h,EnergyDischarge_W_h,QDischarge_mA_h,Temperature__C,cycleNumber,Ns,Clase
0,3.538316,1505.0242,0,0,0,0,19.981642,0,0,VAH25
10.00000047,3.5452902,1505.4182,0.014814664,4.178688503,0,0,19.965868,0,0,VAH25
20.00000095,3.5497034,1504.2361,0.029647886,8.357410174,0,0,19.997417,0,0,VAH25
30.00000142,3.552974,1505.2212,0.04449463,12.53609102,0,0,20.391788,0,0,VAH25
40.0000019,3.5554957,1504.63,0.059351634,16.7146936,0,0,20.147278,0,0,VAH25
50.00000237,3.5577416,1504.827,0.074218082,20.89331282,0,0,20.32869,0,0,VAH25
60.00000285,3.5595148,1504.4331,0.089091763,25.07188267,0,0,20.596861,0,0,VAH25
70.00000332,3.5612485,1504.236,0.103973394,29.25065073,0,0,20.565311,0,0,VAH25
80.0000038,3.5627458,1503.0538,0.118862145,33.42966079,0,0,20.486437,0,0,VAH25
90.00000427,3.5645192,1504.8271,0.133758143,37.60862498,0,0,20.636299,0,0,VAH25
100.0000047,3.5659375,1504.827,0.14865995,41.78755612,0,0,20.754608,0,0,VAH25
110.0000052,3.5673954,1504.2361,0.163567903,45.96650215,0,0,20.920244,0,0,VAH25
120.0000057,3.5689323,1504.2361,0.178482302,50.14545485,0,0,20.872919,0,0,VAH25
130.0000062,3.5704296,1504.4331,0.19340282,54.32436869,0,0,20.90447,0,0,VAH25
140.0000066,3.5719268,1505.6152,0.208330073,58.50341662,0,0,20.78616,0,0,VAH25
150.0000071,3.573503,1505.0242,0.223263706,62.68240653,0,0,20.999119,0,0,VAH25
160.0000076,3.5750003,1504.433,0.238203577,66.86139097,0,0,21.11743,0,0,VAH25
170.0000081,3.5764976,1504.2361,0.25314968,71.04036841,0,0,21.180529,0,0,VAH25
180.0000085,3.578192,1505.6152,0.268103226,75.21944731,0,0,21.5749,0,0,VAH25
190.000009,3.5796893,1504.827,0.283063171,79.39856551,0,0,21.346165,0,0,VAH25
200.0000095,3.5814624,1505.024,0.298030461,83.57766575,0,0,21.188416,0,0,VAH25
210.00001,3.5829992,1503.8419,0.313003894,87.75668795,0,0,21.26729,0,0,VAH25
220.0000104,3.5844965,1504.236,0.327983463,91.93567623,0,0,21.101656,0,0,VAH25
230.0000109,3.5861907,1504.4331,0.342970122,96.11466735,0,0,21.125317,0,0,VAH25
240.0000114,3.5878458,1504.63,0.357963972,100.2937348,0,0,21.196302,0,0,VAH25
250.0000119,3.5896189,1505.2209,0.372965032,104.4727468,0,0,21.480251,0,0,VAH25
260.0000123,3.5913527,1505.2212,0.387973351,108.6517622,0,0,21.330389,0,0,VAH25
270.0000128,3.5930076,1504.2361,0.402988612,112.8307853,0,0,21.511801,0,0,VAH25
280.0000133,3.5946624,1505.2212,0.418010875,117.0098321,0,0,21.219967,0,0,VAH25
290.0000138,3.5963962,1504.0391,0.43304034,121.1888669,0,0,21.330389,0,0,VAH25
300.0000142,3.5981693,1505.0242,0.448077282,125.3679204,0,0,21.196302,0,0,VAH25
310.0000147,3.5997455,1504.2361,0.463120873,129.5469911,0,0,21.283066,0,0,VAH25
320.0000152,3.6016369,1504.8273,0.478172471,133.7260904,0,0,21.283066,0,0,VAH25
330.0000157,3.6032917,1504.0389,0.493231008,137.905196,0,0,21.36194,0,0,VAH25
340.0000161,3.6048286,1505.6152,0.508295979,142.0843049,0,0,21.290953,0,0,VAH25
350.0000166,3.6066017,1504.827,0.523368462,146.263442,0,0,21.519688,0,0,VAH25
360.0000171,3.6084535,1505.0242,0.538448725,150.4425904,0,0,21.66955,0,0,VAH25
370.0000176,3.6101873,1504.4331,0.553536106,154.6217036,0,0,21.496025,0,0,VAH25
380.000018,3.6119211,1505.024,0.568630916,158.8008674,0,0,21.409266,0,0,VAH25
390.0000185,3.6138911,1505.024,0.583733486,162.9799004,0,0,21.606449,0,0,VAH25
400.000019,3.6156249,1503.2507,0.598843464,167.1589783,0,0,21.29884,0,0,VAH25
410.0000195,3.617398,1505.024,0.613960879,171.3380636,0,0,21.582787,0,0,VAH25
420.0000199,3.6192894,1503.645,0.629086108,175.5171239,0,0,21.290953,0,0,VAH25
430.0000204,3.6212201,1505.4181,0.644219418,179.6961878,0,0,21.227854,0,0,VAH25
440.0000209,3.6232297,1503.842,0.659360853,183.8751762,0,0,21.716873,0,0,VAH25
450.0000214,3.6248453,1503.448,0.674509001,188.054154,0,0,21.36194,0,0,VAH25
460.0000218,3.6267366,1505.6152,0.68966458,192.2330014,0,0,21.235741,0,0,VAH25
470.0000223,3.6287463,1505.0242,0.704828848,196.4119288,0,0,21.346165,0,0,VAH25
480.0000228,3.6305587,1503.6449,0.720000821,200.5908926,0,0,21.314615,0,0,VAH25
490.0000233,3.632647,1504.8271,0.735181459,204.7698392,0,0,21.235741,0,0,VAH25
500.0000237,3.6345384,1504.8273,0.750370288,208.9488649,0,0,21.803635,0,0,VAH25
510.0000242,3.6363904,1504.63,0.765566671,213.1278394,0,0,21.338278,0,0,VAH25
520.0000247,3.6384788,1504.2361,0.78077178,217.3068136,0,0,21.251516,0,0,VAH25
530.0000252,3.6404884,1505.024,0.795985176,221.4857572,0,0,21.535463,0,0,VAH25
540.0000256,3.6423798,1504.4331,0.811206822,225.6647961,0,0,21.29884,0,0,VAH25
550.0000261,3.6444287,1504.8271,0.826437074,229.8438465,0,0,21.551237,0,0,VAH25
560.0000266,3.6463594,1504.827,0.84167536,234.0228877,0,0,21.75631,0,0,VAH25
570.0000271,3.6482902,1504.63,0.856921172,238.2017801,0,0,21.346165,0,0,VAH25
580.0000275,3.6501422,1503.842,0.872175291,242.3808281,0,0,21.36194,0,0,VAH25
590.000028,3.6521912,1504.0391,0.887437532,246.559755,0,0,21.377714,0,0,VAH25
600.0000285,3.654043,1504.0389,0.902707722,250.73874,0,0,21.338278,0,0,VAH25
610.000029,3.6557767,1504.63,0.917985153,254.9177235,0,0,21.21208,0,0,VAH25
620.0000294,3.657747,1504.0389,0.933271137,259.0967943,0,0,21.567013,0,0,VAH25
630.0000299,3.659796,1504.63,0.948566113,263.2759826,0,0,21.338278,0,0,VAH25
640.0000304,3.6614902,1505.0242,0.963867814,267.4550736,0,0,21.432926,0,0,VAH25
650.0000309,3.6634209,1504.0391,0.979177359,271.6341032,0,0,21.259403,0,0,VAH25
660.0000313,3.6653912,1504.0388,0.994494997,275.8130948,0,0,21.527576,0,0,VAH25
670.0000318,3.6672432,1503.0538,1.009820391,279.9920904,0,0,21.432926,0,0,VAH25
680.0000323,3.669174,1503.645,1.025154133,284.1711623,0,0,21.456589,0,0,VAH25
690.0000328,3.6711047,1504.6302,1.040496156,288.3502923,0,0,21.701097,0,0,VAH25
700.0000332,3.6729567,1505.8123,1.055845671,292.5293544,0,0,21.369827,0,0,VAH25
710.0000337,3.6748874,1505.0243,1.071203225,296.7084087,0,0,21.5749,0,0,VAH25
720.0000342,3.6767788,1504.433,1.086568714,300.8874715,0,0,21.188416,0,0,VAH25
730.0000347,3.6789064,1503.6449,1.101942885,305.0664772,0,0,21.251516,0,0,VAH25
740.0000351,3.6806796,1505.0242,1.117324304,309.2454389,0,0,21.29884,0,0,VAH25
750.0000356,3.6824923,1504.6302,1.132713673,313.4245025,0,0,21.527576,0,0,VAH25
760.0000361,3.6842258,1503.4479,1.148110038,317.6034983,0,0,21.36194,0,0,VAH25
770.0000366,3.6860385,1505.2211,1.163514066,321.7825183,0,0,21.527576,0,0,VAH25
780.000037,3.6878116,1504.63,1.178925323,325.9614891,0,0,21.36194,0,0,VAH25
790.0000375,3.6895454,1504.4331,1.19434379,330.1404502,0,0,21.432926,0,0,VAH25
800.000038,3.6913972,1504.236,1.209770068,334.3194312,0,0,21.653774,0,0,VAH25
810.0000385,3.6932099,1503.6448,1.225203939,338.4984166,0,0,21.503912,0,0,VAH25
820.0000389,3.6945889,1503.6449,1.240643506,342.6773842,0,0,21.519688,0,0,VAH25
830.0000394,3.6962438,1504.8271,1.256089794,346.856299,0,0,21.275179,0,0,VAH25
840.0000399,3.6978989,1504.6301,1.271543234,351.0352777,0,0,21.26729,0,0,VAH25
850.0000404,3.6995931,1503.645,1.287003643,355.2142262,0,0,21.109543,0,0,VAH25
860.0000408,3.7008934,1503.8419,1.302469214,359.3931011,0,0,21.251516,0,0,VAH25
870.0000413,3.7025089,1504.0389,1.317941531,363.5719748,0,0,21.164755,0,0,VAH25
880.0000418,3.7039669,1503.842,1.333419736,367.7507932,0,0,21.4487,0,0,VAH25
890.0000423,3.7054641,1504.4332,1.34890461,371.929723,0,0,21.29884,0,0,VAH25
900.0000427,3.7067645,1504.8271,1.364394938,376.108658,0,0,21.36194,0,0,VAH25
910.0000432,3.7081437,1504.2358,1.379891038,380.2875953,0,0,21.39349,0,0,VAH25
920.0000437,3.7094834,1503.4479,1.395392528,384.4664763,0,0,21.314615,0,0,VAH25
930.0000442,3.7109017,1505.8121,1.410900059,388.6453881,0,0,21.36194,0,0,VAH25
940.0000446,3.712281,1504.4331,1.426413573,392.8243591,0,0,21.401377,0,0,VAH25
950.0000451,3.7135813,1504.2361,1.441932766,397.0033959,0,0,21.354052,0,0,VAH25
960.0000456,3.7148421,1503.448,1.45745714,401.1824089,0,0,21.54335,0,0,VAH25
970.0000461,3.7160242,1505.4181,1.472985995,405.3612988,0,0,21.764196,0,0,VAH25
980.0000465,3.7172062,1504.433,1.488520006,409.5402466,0,0,21.503912,0,0,VAH25
990.000047,3.7184672,1504.6302,1.504059226,413.7191779,0,0,21.535463,0,0,VAH25
1000.000047,3.7196887,1504.4331,1.519603711,417.8981527,0,0,21.653774,0,0,VAH25
1010.000048,3.7207527,1504.4331,1.535152451,422.0770762,0,0,21.5749,0,0,VAH25
1020.000048,3.7218952,1504.236,1.550705823,426.255961,0,0,21.614336,0,0,VAH25
1030.000049,3.7231169,1504.433,1.566264205,430.4348204,0,0,21.496025,0,0,VAH25
1040.000049,3.7240624,1503.6449,1.58182652,434.6136749,0,0,21.369827,0,0,VAH25
1050.00005,3.7252841,1503.842,1.597394091,438.7925699,0,0,21.511801,0,0,VAH25
1060.00005,3.7263086,1504.8273,1.612966023,442.9714863,0,0,21.559124,0,0,VAH25
1070.000051,3.7274511,1504.433,1.628542638,447.150378,0,0,21.480251,0,0,VAH25
1080.000051,3.7284756,1504.0391,1.644123419,451.3292391,0,0,21.511801,0,0,VAH25
1090.000052,3.729579,1503.448,1.6597093,455.5082312,0,0,21.290953,0,0,VAH25
1100.000052,3.7306821,1503.054,1.675299333,459.6871005,0,0,21.598562,0,0,VAH25
1110.000053,3.7319038,1504.2361,1.690894173,463.8658898,0,0,21.661661,0,0,VAH25
1120.000053,3.7328494,1504.4331,1.706492852,468.0446491,0,0,21.559124,0,0,VAH25
1130.000054,3.7338738,1504.4331,1.722095931,472.2234402,0,0,21.511801,0,0,VAH25
1140.000054,3.7347801,1504.236,1.73770306,476.402302,0,0,21.5749,0,0,VAH25
1150.000055,3.7359228,1503.842,1.75331491,480.581149,0,0,21.496025,0,0,VAH25
1160.000055,3.7370656,1504.0389,1.768931319,484.7599381,0,0,21.401377,0,0,VAH25
1170.000056,3.7379718,1504.2361,1.78455146,488.9387126,0,0,21.630112,0,0,VAH25
1180.000056,3.7391934,1504.4329,1.800176988,493.1175625,0,0,21.827297,0,0,VAH25
1190.000057,3.7400601,1503.842,1.815805509,497.2962442,0,0,21.803635,0,0,VAH25
1200.000057,3.7413211,1503.4479,1.831439469,501.4749713,0,0,21.630112,0,0,VAH25
1210.000057,3.7425032,1504.8271,1.847078647,505.6537729,0,0,21.480251,0,0,VAH25
1220.000058,3.7434883,1504.6301,1.862722165,509.832634,0,0,21.677437,0,0,VAH25
1230.000058,3.7446311,1504.63,1.878370035,514.0113821,0,0,21.567013,0,0,VAH25
1240.000059,3.7457342,1504.0391,1.894022477,518.1901201,0,0,21.409266,0,0,VAH25
1250.000059,3.7469163,1503.6449,1.909679876,522.3688629,0,0,21.480251,0,0,VAH25
1260.00006,3.7479408,1504.433,1.925341416,526.5475682,0,0,21.803635,0,0,VAH25
1270.00006,3.7492018,1503.4479,1.941008242,530.726278,0,0,21.472364,0,0,VAH25
1280.000061,3.7502263,1504.236,1.956679101,534.9049216,0,0,22.063919,0,0,VAH25
1290.000061,3.7515266,1503.842,1.972355698,539.0836463,0,0,21.748423,0,0,VAH25
1300.000062,3.7526298,1503.2509,1.988036985,543.2623924,0,0,21.724762,0,0,VAH25
1310.000062,3.7537332,1505.4182,2.003722911,547.4411459,0,0,21.464476,0,0,VAH25
1320.000063,3.7549939,1504.236,2.019414198,551.6199242,0,0,21.85096,0,0,VAH25
1330.000063,3.7561367,1504.63,2.035110354,555.7987276,0,0,21.898283,0,0,VAH25
1340.000064,3.7572005,1503.251,2.050810917,559.9775205,0,0,21.66955,0,0,VAH25
1350.000064,3.7584221,1503.4479,2.066516719,564.1563491,0,0,21.914059,0,0,VAH25
1360.000065,3.7596829,1504.827,2.082227378,568.3350684,0,0,21.496025,0,0,VAH25
1370.000065,3.7607863,1504.0392,2.097942825,572.5138345,0,0,21.811522,0,0,VAH25
1380.000066,3.7620471,1504.8271,2.113663266,576.6925279,0,0,21.985046,0,0,VAH25
1390.000066,3.7631111,1501.8718,2.129388199,580.8712335,0,0,21.732649,0,0,VAH25
1400.000066,3.7644508,1505.4181,2.145119082,585.0500323,0,0,21.890396,0,0,VAH25
1410.000067,3.765554,1503.8419,2.160854698,589.2288641,0,0,21.890396,0,0,VAH25
1420.000067,3.7668149,1503.2509,2.176595274,593.4076136,0,0,21.929834,0,0,VAH25
1430.000068,3.7681546,1503.2509,2.19234154,597.5863872,0,0,22.016594,0,0,VAH25
1440.000068,3.7692184,1504.2361,2.208092335,601.7651833,0,0,21.645885,0,0,VAH25
1450.000069,3.7705977,1505.2212,2.22384859,605.9438989,0,0,22.00082,0,0,VAH25
1460.000069,3.7718191,1503.0538,2.239609894,610.1225997,0,0,21.945608,0,0,VAH25
1470.00007,3.7730801,1504.4331,2.255376705,614.3013636,0,0,21.898283,0,0,VAH25
1480.00007,3.7743804,1504.433,2.271148832,618.4800965,0,0,22.024481,0,0,VAH25
1490.000071,3.7756019,1505.6152,2.286926366,622.6589093,0,0,21.90617,0,0,VAH25
1500.000071,3.7768233,1503.448,2.302708913,626.8376982,0,0,22.324203,0,0,VAH25
1510.000072,3.7782025,1503.6449,2.318497434,631.0165427,0,0,22.016594,0,0,VAH25
1520.000072,3.7795029,1503.645,2.334291306,635.1953654,0,0,22.008707,0,0,VAH25
1530.000073,3.7809608,1504.63,2.350091551,639.3742621,0,0,21.977158,0,0,VAH25
1540.000073,3.7821033,1504.63,2.365896236,643.5530705,0,0,21.748423,0,0,VAH25
1550.000074,3.7834036,1503.4479,2.381706339,647.7318748,0,0,21.772083,0,0,VAH25
1560.000074,3.7845464,1504.4331,2.397521377,651.9107211,0,0,21.992933,0,0,VAH25
1570.000075,3.7859254,1504.236,2.41334221,656.089576,0,0,22.284765,0,0,VAH25
1580.000075,3.7872653,1505.2212,2.429168214,660.2683179,0,0,22.300543,0,0,VAH25
1590.000076,3.7885654,1504.2361,2.444999686,664.4470691,0,0,22.261105,0,0,VAH25
1600.000076,3.7899053,1503.6449,2.460836478,668.6257464,0,0,22.024481,0,0,VAH25
1610.000076,3.7914419,1504.827,2.476679863,672.8044694,0,0,22.103357,0,0,VAH25
1620.000077,3.7927029,1504.8271,2.492528804,676.9832678,0,0,22.284765,0,0,VAH25
1630.000077,3.7940426,1503.8419,2.508383131,681.1620104,0,0,22.056032,0,0,VAH25
1640.000078,3.7954216,1504.2361,2.524243582,685.3408479,0,0,22.040257,0,0,VAH25
1650.000078,3.7966826,1505.024,2.540109342,689.5196961,0,0,22.158567,0,0,VAH25
1660.000079,3.7981405,1504.2361,2.555981024,693.6984995,0,0,22.324203,0,0,VAH25
1670.000079,3.7995589,1504.4331,2.571858677,697.8773142,0,0,22.221666,0,0,VAH25
1680.00008,3.8007016,1504.236,2.58774143,702.0562146,0,0,22.205893,0,0,VAH25
1690.00008,3.8020413,1504.236,2.60362955,706.2350539,0,0,22.355753,0,0,VAH25
1700.000081,3.8036568,1504.433,2.619524332,710.4138699,0,0,22.087582,0,0,VAH25
1710.000081,3.8049178,1504.63,2.635424506,714.5927181,0,0,22.00082,0,0,VAH25
1720.000082,3.8061788,1503.8419,2.651329896,718.7715523,0,0,22.339977,0,0,VAH25
1730.000082,3.8075972,1504.0389,2.667241116,722.950361,0,0,22.316317,0,0,VAH25
1740.000083,3.8089764,1504.2362,2.683158071,727.1291622,0,0,22.30843,0,0,VAH25
1750.000083,3.8104343,1504.0389,2.699081017,731.3079367,0,0,22.324203,0,0,VAH25
1760.000084,3.8117347,1505.4182,2.715009538,735.4867483,0,0,22.339977,0,0,VAH25
1770.000084,3.8131137,1505.0239,2.730943813,739.6655577,0,0,22.158567,0,0,VAH25
1780.000085,3.8144927,1504.63,2.746884191,743.8444562,0,0,22.395189,0,0,VAH25
1790.000085,3.815872,1503.448,2.762830653,748.0234385,0,0,22.418852,0,0,VAH25
1800.000085,3.8173692,1503.6451,2.778783046,752.2023356,0,0,22.545052,0,0,VAH25
1810.000086,3.8187878,1503.842,2.794741073,756.3811558,0,0,22.387302,0,0,VAH25
1820.000086,3.8201275,1504.0389,2.810704717,760.5599806,0,0,22.30843,0,0,VAH25
1830.000087,3.8215065,1504.4331,2.826674272,764.7388443,0,0,22.434628,0,0,VAH25
1840.000087,3.8228068,1503.4479,2.842649235,768.9177014,0,0,22.387302,0,0,VAH25
1850.000088,3.8241861,1504.0391,2.85862986,773.0965316,0,0,22.33209,0,0,VAH25
1860.000088,3.8257227,1504.8271,2.874616606,777.2752837,0,0,22.292654,0,0,VAH25
1870.000089,3.827023,1504.63,2.890608707,781.454015,0,0,22.592375,0,0,VAH25
1880.000089,3.828481,1504.236,2.90660698,785.6327671,0,0,22.505615,0,0,VAH25
1890.00009,3.8298993,1505.4182,2.922611363,789.8115672,0,0,22.481951,0,0,VAH25
1900.00009,3.8311603,1504.8271,2.93862112,793.9903943,0,0,22.687025,0,0,VAH25
1910.000091,3.8325789,1504.63,2.954637034,798.1692812,0,0,22.466177,0,0,VAH25
1920.000091,3.8338003,1504.63,2.970657949,802.3481414,0,0,22.584488,0,0,VAH25
1930.000092,3.8353765,1505.0242,2.986685248,806.5269485,0,0,22.529276,0,0,VAH25
1940.000092,3.8367162,1503.8419,3.002718418,810.7058269,0,0,22.568714,0,0,VAH25
1950.000093,3.8381348,1504.0391,3.018757245,814.8846345,0,0,22.616037,0,0,VAH25
1960.000093,3.8394744,1504.2358,3.03480185,819.063489,0,0,22.576601,0,0,VAH25
1970.000094,3.840893,1503.448,3.050852573,823.2423929,0,0,22.568714,0,0,VAH25
1980.000094,3.8422327,1504.236,3.066908677,827.4212403,0,0,22.434628,0,0,VAH25
0,3.5257909,1501.2544,0,0,0,0,30.159153,0,0,VAH10
10.00000047,3.5325673,1501.6486,0.014737584,4.171918742,0,0,30.30891,0,0,VAH10
20.00000095,3.5367041,1501.6486,0.029492087,8.343741703,0,0,30.190681,0,0,VAH10
30.00000142,3.5395799,1502.2396,0.044258893,12.51565103,0,0,30.450787,0,0,VAH10
40.0000019,3.5417862,1502.2396,0.059034954,16.68757437,0,0,30.647837,0,0,VAH10
50.00000237,3.5435984,1502.4366,0.073818734,20.85954269,0,0,30.584782,0,0,VAH10
60.00000285,3.5452137,1501.6484,0.08860927,25.03151585,0,0,30.734541,0,0,VAH10
70.00000332,3.5467107,1502.2396,0.103405975,29.20346709,0,0,30.81336,0,0,VAH10
80.0000038,3.5482473,1502.0427,0.118208921,33.37537083,0,0,30.994646,0,0,VAH10
90.00000427,3.5496657,1501.8456,0.133017734,37.54726045,0,0,31.034058,0,0,VAH10
100.0000047,3.5512416,1502.8307,0.147833338,41.71921073,0,0,31.018291,0,0,VAH10
110.0000052,3.5526597,1501.4513,0.162654746,45.89112947,0,0,31.175934,0,0,VAH10
